1,1.55,1.45,2
2,1.5,1.55,1
3,1.55,1.5,2
4,1.55,1.55,1
5,1.55,1.3,1
6,1.55,1.5,2
7,1.55,1.55,1
8,1.55,1.55,1
9,1.55,1.3,2
10,1.55,1.55,2
11,1.5,1.55,1
12,1.55,1.7,1
13,1.5,1.55,1
14,2,1.55,2
15,1.3,1.55,1
16,1.55,1,1
17,1.55,1.7,1
18,1.55,1.3,2
19,1.55,1.7,2
20,1.45,1.55,1
21,1.55,1.55,1
22,2,1.55,1
23,1.55,1.55,2
24,1.55,1.45,1
25,1.45,1.55,2
26,1.45,1.55,1
27,1.55,1,1
28,2,1.55,1
29,1.55,1.45,1
30,1.55,1.55,1
31,1.3,1.55,1
32,1,1.55,1
33,1.5,1.55,2
34,1.55,1.3,1
35,1.55,2,1
36,1.7,1.55,2
37,1.5,1.55,2
38,1.55,1.45,1
39,1.55,2,2
40,1.55,1.7,2
41,1.45,1.55,2
42,1.55,1.55,1
43,1.55,1.55,1
44,1.5,1.55,2
45,1.55,1.5,1
46,1,1.55,2
47,1.55,1.55,1
48,1.7,1.55,1
49,1.55,1,1
50,1.55,1.7,2
51,2,1.55,1
52,1.45,1.55,1
53,1.55,1.3,2
54,1.5,1.55,1
55,1.55,1.7,2
56,2,1.55,1
57,1.3,1.55,2
58,2,1.55,1
59,1.55,1.7,2
60,1.55,1,2
61,1.45,1.55,2
62,1.3,1.55,1
63,1.55,1.7,1
64,1.3,1.55,1
65,1,1.55,2
66,1.55,2,2
67,1.55,2,2
68,1,1.55,2
69,1,1.55,2
70,1,1.55,2
