1,1.55,1.55,1
2,1.55,1,1
3,1.55,1.5,1
4,1.55,2,1
5,1.55,1.45,2
6,1.55,2,2
7,1.55,1,1
8,1.55,1.5,2
9,1.55,1.55,1
10,1.55,1.45,1
11,1.55,1.45,1
12,1.55,1.55,2
13,1.55,1,1
14,1.55,1,2
15,1.55,1,1
16,1.55,1.45,2
17,1.55,1.3,1
18,1.55,1,1
19,1.55,2,1
20,1.55,1.3,1
21,1.55,1.3,2
22,1.55,1.3,1
23,1.55,1.7,2
24,1.55,1.3,2
25,1.55,1.45,2
26,1.55,2,2
27,1.55,1.7,2
28,1.55,1.3,1
29,1.55,1.45,1
30,1.55,2,2
31,1.55,1.3,1
32,1.55,1.3,2
33,1.55,1.55,2
34,1.55,1.45,1
35,1.55,2,2
36,1.55,1.55,1
37,1.55,2,2
38,1.55,1.55,2
39,1.55,1.7,1
40,1.55,1,2
41,1.55,1.7,2
42,1.55,1,1
43,1.55,1.55,1
44,1.55,1,2
45,1.55,1.7,2
46,1.55,1,2
47,1.55,1.7,2
48,1.55,2,1
49,1.55,2,1
50,1.55,1.5,1
51,1.55,1.5,2
52,1.55,1.5,1
53,1.55,1.55,1
54,1.55,1.55,2
55,1.55,1.5,1
56,1.55,1.5,1
57,1.55,1.5,1
58,1.55,1.7,2
59,1.55,1.5,2
60,1.55,1.7,2
61,1.55,1.45,1
62,1.55,1.45,2
63,1.55,2,2
64,1.55,1.55,2
65,1.55,1.5,1
66,1.55,1.3,1
67,1.55,1.3,2
68,1.55,1.45,1
69,1.55,1.7,1
70,1.55,1.7,2
