1,2.0,1,1
2,2.0,2.0,1
3,2.6,2.0,1
4,1.4,2.0,1
5,1.4,2.0,1
6,2.0,2.0,1
7,2.6,2.0,1
8,2.6,2.0,1
9,2.0,1,1
10,1,2.0,1
11,2.0,1.4,1
12,2.0,2.0,1
13,2.0,2.3,1
14,2.0,3.0,1
15,1.4,2.0,1
16,1.7,2.0,1
17,2.0,1.4,1
18,2.0,1.7,1
19,2.0,3.0,1
20,3.0,2.0,1
21,2.0,1.4,1
22,2.0,1.7,1
23,2.0,2.6,1
24,1.4,2.0,1
25,2.0,1.7,1
26,2.3,2.0,1
27,2.0,2.3,1
28,2.0,2.0,1
29,1.7,2.0,1
30,2.0,2.3,1
31,1.4,2.0,1
32,1,2.0,1
33,2.0,3.0,1
34,2.0,1.4,1
35,2.0,3.0,1
36,2.0,1.7,1
37,1.4,2.0,1
38,3.0,2.0,1
39,2.6,2.0,1
40,2.0,3.0,1
41,3.0,2.0,1
42,2.0,1.7,1
43,2.0,2.3,1
44,2.0,1.7,1
45,2.0,2.0,1
46,2.0,2.0,1
47,2.0,1,1
48,1,2.0,1
49,3.0,2.0,1
50,2.3,2.0,1
51,2.6,2.0,1
52,1,2.0,1
53,2.3,2.0,1
54,2.3,2.0,1
55,2.0,1,1
56,2.0,3.0,1
57,1.7,2.0,1
58,2.0,2.3,1
59,2.0,1.7,1
60,2.0,2.3,1
61,1,2.0,1
62,2.0,2.6,1
63,2.6,2.0,1
64,1,2.0,1
65,2.0,2.6,1
66,2.6,2.0,1
67,2.0,2.0,1
68,2.0,2.0,1
69,2.0,2.0,1
70,2.0,2.0,1
