1,2.0,1
2,2.0,2.0
3,2.6,2.0
4,1.4,2.0
5,1.4,2.0
6,2.0,2.0
7,2.6,2.0
8,2.6,2.0
9,2.0,1
10,1,2.0
11,2.0,1.4
12,2.0,2.0
13,2.0,2.3
14,2.0,3.0
15,1.4,2.0
16,1.7,2.0
17,2.0,1.4
18,2.0,1.7
19,2.0,3.0
20,3.0,2.0
21,2.0,1.4
22,2.0,1.7
23,2.0,2.6
24,1.4,2.0
25,2.0,1.7
26,2.3,2.0
27,2.0,2.3
28,2.0,2.0
29,1.7,2.0
30,2.0,2.3
31,1.4,2.0
32,1,2.0
33,2.0,3.0
34,2.0,1.4
35,2.0,3.0
36,2.0,1.7
37,1.4,2.0
38,3.0,2.0
39,2.6,2.0
40,2.0,3.0
41,3.0,2.0
42,2.0,1.7
43,2.0,2.3
44,2.0,1.7
45,2.0,2.0
46,2.0,2.0
47,2.0,1
48,1,2.0
49,3.0,2.0
50,2.3,2.0
51,2.6,2.0
52,1,2.0
53,2.3,2.0
54,2.3,2.0
55,2.0,1
56,2.0,3.0
57,1.7,2.0
58,2.0,2.3
59,2.0,1.7
60,2.0,2.3
61,1,2.0
62,2.0,2.6
63,2.6,2.0
64,1,2.0
65,2.0,2.6
66,2.6,2.0
67,2.0,2.0
68,2.0,2.0
69,2.0,2.0
70,2.0,2.0
